epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.9908808;0.04511400775989122;0.001;0.9961497783660889;0.011343293612160922
1;0.997002;0.009235536015235524;0.001;0.9967614412307739;0.009354824829875942
2;0.99736047;0.007714324699647457;0.001;0.9972928166389465;0.007361488871764942
3;0.9975886;0.0068273774074077654;0.001;0.9974632859230042;0.006893625167181344
4;0.9977114;0.006304853896451559;0.001;0.9976236820220947;0.006288781858038081
5;0.9978418;0.006099742870775188;0.001;0.9976036548614502;0.006342127770219088
6;0.9978794;0.005933140566226513;0.001;0.9975635409355164;0.006185486602118415
7;0.9978693;0.0058131297709861415;0.001;0.9973830580711365;0.006700512787657081
8;0.99791694;0.005748067909956003;0.001;0.9975936412811279;0.006147327862474336
9;0.997922;0.005639535474134648;0.001;0.99787437915802;0.005838402740303607
10;0.99798214;0.005512061020496204;0.001;0.9978342652320862;0.005798898452216177
11;0.99795204;0.005418964323936009;0.001;0.9976938962936401;0.006009548256625127
12;0.99797964;0.005276494419820261;0.001;0.9979946613311768;0.005313817937893187
13;0.9980423;0.005253124939625848;0.001;0.9980047345161438;0.0053976883800200635
14;0.99801725;0.005190801543757894;0.001;0.9979044198989868;0.005519706696290946
15;0.99802727;0.0051435907947243375;0.001;0.9977239966392517;0.006560312679117105
16;0.9980749;0.005188466007792831;0.001;0.9979846477508545;0.005254117421575771
17;0.99805737;0.005049870748044765;0.001;0.9980347752571106;0.005083192533183991
18;0.9980649;0.0049562083363700205;0.001;0.9978041648864746;0.005782818020340432
19;0.9980824;0.0049695104524039545;0.001;0.9979746341705322;0.005248576732019104
20;0.99805987;0.0049380347934428375;0.001;0.99796462059021;0.005031913787652456
21;0.9980824;0.004881786475633084;0.001;0.9980548620223999;0.005090073728539401
22;0.9980799;0.004934434866585027;0.001;0.9980849027633667;0.005062654626966098
23;0.99814504;0.004559693399959166;0.00020000001;0.9980648756027222;0.004912489147855617
24;0.99819267;0.00450250241759548;0.00020000001;0.9980347752571106;0.004859989113644779
25;0.99820775;0.004530341535279272;0.00020000001;0.9982152581214905;0.004742200481015992
26;0.99820024;0.0044914123121012565;0.00020000001;0.9980949759483337;0.004719290814209837
27;0.9982554;0.004487264600699526;0.00020000001;0.9981250166893005;0.00481480195774344
28;0.99820024;0.004463455379465317;0.00020000001;0.9980949759483337;0.004787133850194426
29;0.99824035;0.004481323716791353;0.00020000001;0.9982052445411682;0.004702749605447796
30;0.99824536;0.004456156713553879;0.00020000001;0.9981551170349121;0.00485832984087437
31;0.99825037;0.004397708128341968;4.0000003e-05;0.9981551170349121;0.004668281862780511
32;0.9982554;0.004376022526805439;4.0000003e-05;0.9981651306152344;0.004663823832990147
33;0.9982353;0.004373605127894722;4.0000003e-05;0.9982353448867798;0.00465485661940929
34;0.99822026;0.004365009841182774;4.0000003e-05;0.9981451034545898;0.004664122754279413
35;0.99822026;0.00436749239969695;4.0000003e-05;0.998245358467102;0.004664824540193783
36;0.9982579;0.004351912320283672;8.000001e-06;0.9981852173805237;0.004646870397511652
37;0.9982378;0.004346859317615085;8.000001e-06;0.9981551170349121;0.004646049685159554
38;0.99824786;0.0043441586554417416;8.000001e-06;0.9981751441955566;0.004646167998428731
39;0.99822026;0.004345244176100981;8.000001e-06;0.9981751441955566;0.004647022156569542
40;0.99824536;0.004345390470705759;8.000001e-06;0.9981551170349121;0.004646018574657412
41;0.9982554;0.004339636876060413;1.6000001e-06;0.9981651306152344;0.004646092059813773
42;0.9982579;0.004339437729304106;1.6000001e-06;0.9981551170349121;0.004646162041666759
43;0.99825287;0.00433958313242349;1.6000001e-06;0.9981551170349121;0.004646230835841843
44;0.99825037;0.0043394375530997845;1.6000001e-06;0.9981651306152344;0.004646168398784916
45;0.9982579;0.004339264612436439;1.6000001e-06;0.9981551170349121;0.004646076869231494
46;0.99825287;0.004338145458905817;3.2000003e-07;0.9981551170349121;0.00464608517240156
47;0.99825037;0.004338123954807607;3.2000003e-07;0.9981551170349121;0.0046460720019166355
48;0.99825037;0.004338144188958496;3.2000003e-07;0.9981551170349121;0.004646078034400217
49;0.99825037;0.004338097944487148;3.2000003e-07;0.9981551170349121;0.004646065768199771
50;0.99825287;0.004338061876436195;3.2000003e-07;0.9981551170349121;0.0046460431880558685
51;0.99825037;0.004337867528380868;1e-07;0.9981551170349121;0.004646036229913192
52;0.99825037;0.0043378617691632315;1e-07;0.9981551170349121;0.004646026700560099
53;0.99825037;0.00433785714423198;1e-07;0.9981551170349121;0.004646021071047333
54;0.99825037;0.004337862805102512;1e-07;0.9981551170349121;0.0046460106647186585
55;0.99825037;0.00433784300397071;1e-07;0.9981551170349121;0.004646003035301903
56;0.99825037;0.004337850826974784;1e-07;0.9981551170349121;0.0046459962874036516
57;0.99825037;0.004337834067167968;1e-07;0.9981551170349121;0.004645982680200482
58;0.99825037;0.004337833221862836;1e-07;0.9981551170349121;0.004645978577039834
59;0.99825037;0.004337825473821514;1e-07;0.9981551170349121;0.004645968545527992
60;0.99825037;0.004337835161513999;1e-07;0.9981551170349121;0.004645961077695493
61;0.99825037;0.004337812463215745;1e-07;0.9981551170349121;0.004645954316929517
62;0.99825037;0.004337800835535672;1e-07;0.9981551170349121;0.004645946641990151
63;0.99825037;0.0043378024021757;1e-07;0.9981551170349121;0.004645940518853543
64;0.99825037;0.004337799499680527;1e-07;0.9981551170349121;0.004645939049196919
65;0.99825037;0.004337788292738903;1e-07;0.9981551170349121;0.00464592544304894
66;0.99825037;0.004337784117646796;1e-07;0.9981551170349121;0.004645918718458265
